Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
20070101T0000Z, 7372716.sdb, 2020-10-27T11:57:44Z, 2020-10-27T12:40:26Z, 2020-10-28T02:31:29Z
20070201T0000Z, 7373891.sdb, 2020-10-28T08:44:56Z, , 
20070201T0000Z, 7373898.sdb, 2020-10-28T08:49:50Z, 2020-10-28T10:23:24Z, 2020-10-28T23:43:57Z
20070301T0000Z, 7466564.sdb, 2020-11-10T09:31:52Z, , 
20070301T0000Z, 7466577.sdb, 2020-11-10T09:33:48Z, 2020-11-10T10:05:48Z, 2020-11-10T20:51:49Z
20070401T0000Z, 7468033.sdb, 2020-11-10T20:52:20Z, 2020-11-10T21:09:17Z, 2020-11-11T05:34:31Z
20070401T0000Z, 7469821.sdb, 2020-11-11T10:28:14Z, 2020-11-11T10:50:02Z, 2020-11-11T20:54:39Z
20070501T0000Z, 7470852.sdb, 2020-11-11T20:59:32Z, 2020-11-11T22:17:13Z, 2020-11-12T08:42:59Z
20070601T0000Z, 7471582.sdb, 2020-11-12T08:46:52Z, 2020-11-12T08:47:01Z, 2020-11-13T08:23:37Z
20070601T0000Z, 7474020.sdb, 2020-11-13T08:23:54Z, 2020-11-13T09:00:22Z, 2020-11-13T18:40:49Z
20070701T0000Z, 7475639.sdb, 2020-11-13T18:45:26Z, 2020-11-14T09:28:08Z, 2020-11-14T19:09:01Z
20070801T0000Z, 7477986.sdb, 2020-11-14T19:13:35Z, 2020-11-15T21:14:37Z, 2020-11-16T03:27:46Z
20070801T0000Z, 7480436.sdb, 2020-11-16T12:48:29Z, 2020-11-17T05:51:43Z, 2020-11-17T15:35:02Z
20070901T0000Z, 7482557.sdb, 2020-11-17T15:37:23Z, 2020-11-17T15:38:47Z, 2020-11-18T01:43:52Z
20071001T0000Z, 7483318.sdb, 2020-11-18T01:48:45Z, 2020-11-18T03:35:01Z, 2020-11-18T13:51:34Z
20071101T0000Z, 7484876.sdb, 2020-11-18T13:55:36Z, 2020-11-18T14:58:29Z, 2020-11-19T01:54:26Z
20071201T0000Z, 7486524.sdb, 2020-11-19T01:57:19Z, 2020-11-19T03:08:27Z, 2020-11-19T13:10:25Z
20080101T0000Z, 7488246.sdb, 2020-11-19T13:13:39Z, 2020-11-19T13:14:20Z, 2020-11-19T23:51:51Z
20080201T0000Z, 7489599.sdb, 2020-11-19T23:55:29Z, 2020-11-19T23:55:39Z, 2020-11-20T10:05:35Z
20080301T0000Z, 7490505.sdb, 2020-11-20T10:07:01Z, 2020-11-20T10:07:19Z, 2020-11-20T20:11:04Z
20080401T0000Z, 7492231.sdb, 2020-11-20T20:13:28Z, 2020-11-20T20:14:29Z, 2020-11-21T06:26:13Z
20080501T0000Z, 7492592.sdb, 2020-11-21T06:30:02Z, 2020-11-21T07:31:19Z, 2020-11-21T12:28:21Z
20080501T0000Z, 7496496.sdb, 2020-11-25T11:23:00Z, 2020-11-25T21:54:33Z, 2020-11-26T07:22:21Z
20080601T0000Z, 7497859.sdb, 2020-11-26T07:22:56Z, 2020-11-26T13:43:21Z, 2020-11-26T23:21:56Z
20080701T0000Z, 7499545.sdb, 2020-11-26T23:25:16Z, 2020-11-27T05:35:02Z, 2020-11-27T16:41:35Z
20080801T0000Z, 7501045.sdb, 2020-11-27T16:42:21Z, 2020-11-27T20:23:16Z, 2020-11-28T06:31:08Z
20080901T0000Z, 7501883.sdb, 2020-11-28T06:34:40Z, 2020-11-28T14:38:01Z, 2020-11-29T01:03:55Z
20081001T0000Z, 7503907.sdb, 2020-11-29T01:07:26Z, 2020-11-29T01:57:47Z, 2020-11-29T11:33:24Z
20081101T0000Z, 7504658.sdb, 2020-11-29T11:33:51Z, 2020-11-29T11:35:19Z, 2020-11-29T21:00:56Z
20081201T0000Z, 7505559.sdb, 2020-11-29T21:05:20Z, 2020-11-29T22:05:09Z, 2020-11-30T08:16:29Z
20090101T0000Z, 7506138.sdb, 2020-11-30T08:17:03Z, 2020-11-30T08:21:07Z, 2020-11-30T18:18:41Z
20090201T0000Z, 7507698.sdb, 2020-11-30T18:21:55Z, 2020-11-30T18:25:11Z, 2020-12-01T04:35:22Z
20090301T0000Z, 7508130.sdb, 2020-12-01T04:38:16Z, 2020-12-01T09:59:21Z, 2020-12-01T21:55:00Z
20090401T0000Z, 7509609.sdb, 2020-12-01T21:55:26Z, 2020-12-01T21:56:26Z, 2020-12-02T08:55:23Z
20090501T0000Z, 7510032.sdb, 2020-12-02T08:56:53Z, 2020-12-02T08:57:02Z, 2020-12-02T19:54:13Z
20090601T0000Z, 7511431.sdb, 2020-12-02T19:58:18Z, 2020-12-02T21:50:05Z, 2020-12-03T09:25:45Z
20090701T0000Z, 7512260.sdb, 2020-12-03T09:27:13Z, 2020-12-03T09:30:03Z, 2020-12-03T21:24:34Z
20090801T0000Z, 7513653.sdb, 2020-12-03T21:28:40Z, 2020-12-03T23:31:05Z, 2020-12-04T11:21:00Z
20090901T0000Z, 7514713.sdb, 2020-12-04T11:25:32Z, 2020-12-05T04:13:48Z, 2020-12-05T14:14:15Z
20091001T0000Z, 7516838.sdb, 2020-12-05T14:19:20Z, 2020-12-06T07:17:14Z, 2020-12-06T17:17:30Z
20091101T0000Z, 7518145.sdb, 2020-12-06T17:17:55Z, 2020-12-06T17:26:06Z, 2020-12-07T03:44:10Z
