ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2021-05-24 .
A total of 169 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Nov - Dec 2020 .
Job list for specified period (limited to 200 entries).
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
45827924,7480518.sdb,annette@archer,16/11/20 13:20,16/11/20 13:24,264,1,24,321.252,53759,203.633,Unified Model
45828034,7480605.sdb,annette@archer,16/11/20 13:48,16/11/20 13:50,79,1,24,239.346,10931,138.367,Unified Model
45828158,7480635.sdb,annette@archer,16/11/20 13:56,16/11/20 13:57,80,1,24,239.344,10611,132.637,Unified Model
45830590,7480712.sdb,annette@archer,16/11/20 14:31,16/11/20 14:33,81,1,24,239.317,10920,134.815,Unified Model
45830864,7480716.sdb,annette@archer,16/11/20 14:35,16/11/20 14:36,25,1,24,237.742,3084,123.36,Unified Model
45831115,7480721.sdb,annette@archer,16/11/20 14:39,16/11/20 14:39,24,1,24,237.736,3091,128.792,Unified Model
45831233,7480727.sdb,annette@archer,16/11/20 14:42,16/11/20 14:46,255,1,24,324.307,51791,203.102,Unified Model
45831485,7480745.sdb,annette@archer,16/11/20 14:51,16/11/20 14:51,16,1,24,217.47,2112,132,Unified Model
45831813,7480763.sdb,annette@archer,16/11/20 15:00,16/11/20 15:02,66,1,24,285.75,11492,174.121,Unified Model
45831994,7480790.sdb,annette@archer,16/11/20 15:10,16/11/20 15:16,305,1,24,356.464,58125,190.574,Unified Model
45832095,7480819.sdb,annette@archer,16/11/20 15:23,16/11/20 15:25,146,1,24,227.433,20498,140.397,Unified Model
45834791,7480436.sdb,annette@archer,17/11/20 05:51,17/11/20 15:35,34983,758,8,61.081,6172587624,232.778,Unified Model
45894636,7482497.sdb,annette@archer,17/11/20 14:54,17/11/20 14:59,286,1,24,356.462,54256,189.706,Unified Model
45905499,7482557.sdb,annette@archer,17/11/20 15:39,18/11/20 01:43,36288,758,8,77.11,6378785742,231.903,Unified Model
45934362,7483318.sdb,annette@archer,18/11/20 03:35,18/11/20 13:51,36976,758,8,79.361,6463271509,230.602,Unified Model
45984200,7484534.sdb,annette@archer,18/11/20 11:29,18/11/20 11:30,63,1,24,219.084,8111,128.746,Unified Model
45990005,7484770.sdb,annette@archer,18/11/20 13:09,18/11/20 13:09,17,1,24,217.613,2095,123.235,Unified Model
45990042,7484785.sdb,annette@archer,18/11/20 13:17,18/11/20 13:22,298,1,24,361.013,55161,185.104,Unified Model
45990640,7484894.sdb,annette@archer,18/11/20 14:05,18/11/20 14:05,16,1,24,217.614,2033,127.062,Unified Model
45990668,7484904.sdb,annette@archer,18/11/20 14:11,18/11/20 14:16,290,1,24,358.103,54602,188.283,Unified Model
45990892,7484876.sdb,annette@archer,18/11/20 14:58,19/11/20 01:54,39338,758,8,61.402,6815640187,228.573,Unified Model
45991013,7485056.sdb,annette@archer,18/11/20 15:14,18/11/20 15:14,18,1,24,217.644,2206,122.556,Unified Model
45991116,7485088.sdb,annette@archer,18/11/20 15:27,18/11/20 15:32,284,1,24,358.104,53817,189.496,Unified Model
45991191,7485112.sdb,annette@archer,18/11/20 15:46,18/11/20 15:50,293,1,24,411.919,54506,186.027,Unified Model
45991610,7485264.sdb,annette@archer,18/11/20 16:38,18/11/20 16:43,291,1,24,358.107,56893,195.509,Unified Model
45992260,7485477.sdb,annette@archer,18/11/20 18:09,18/11/20 18:09,19,1,24,217.647,2255,118.684,Unified Model
45992282,7485489.sdb,annette@archer,18/11/20 18:12,18/11/20 18:13,20,1,24,217.65,2288,114.4,Unified Model
45992359,7485512.sdb,annette@archer,18/11/20 18:23,18/11/20 18:23,19,1,24,217.649,2304,121.263,Unified Model
45992842,7485636.sdb,annette@archer,18/11/20 20:06,18/11/20 20:07,19,1,24,217.645,2292,120.632,Unified Model
45992867,7485641.sdb,annette@archer,18/11/20 20:11,18/11/20 20:11,17,1,24,217.646,2148,126.353,Unified Model
45992883,7485647.sdb,annette@archer,18/11/20 20:14,18/11/20 20:15,17,1,24,217.646,2098,123.412,Unified Model
45992909,7485651.sdb,annette@archer,18/11/20 20:18,18/11/20 20:24,380,1,24,604.791,67238,176.942,Unified Model
46043854,7486524.sdb,annette@archer,19/11/20 03:08,19/11/20 13:10,36101,758,8,61.601,6277849407,229.415,Unified Model
46054327,7487978.sdb,annette@archer,19/11/20 11:54,19/11/20 11:55,19,1,24,217.636,2253,118.579,Unified Model
46054387,7487994.sdb,annette@archer,19/11/20 11:59,19/11/20 11:59,17,1,24,217.636,2130,125.294,Unified Model
46065026,7488237.sdb,annette@archer,19/11/20 13:04,19/11/20 13:09,285,1,24,355.56,54736,192.056,Unified Model
46067092,7488246.sdb,annette@archer,19/11/20 13:14,19/11/20 23:51,38229,758,8,71.844,6595882963,227.62,Unified Model
46067846,7488266.sdb,annette@archer,19/11/20 13:18,19/11/20 13:23,312,1,24,355.56,59874,191.904,Unified Model
46096616,7488753.sdb,annette@archer,19/11/20 15:39,19/11/20 15:44,286,1,24,356.128,56655,198.094,Unified Model
46098278,7488769.sdb,annette@archer,19/11/20 15:49,19/11/20 15:54,282,1,24,356.123,53969,191.379,Unified Model
46099841,7488781.sdb,annette@archer,19/11/20 15:59,19/11/20 16:05,348,1,24,537.626,62655,180.043,Unified Model
46101695,7488822.sdb,annette@archer,19/11/20 16:16,19/11/20 16:22,363,1,24,605.246,63576,175.14,Unified Model
46116944,7489599.sdb,annette@archer,19/11/20 23:55,20/11/20 10:05,36579,758,8,77.84,6360117292,229.385,Unified Model
46176715,7490498.sdb,annette@archer,20/11/20 10:03,20/11/20 10:10,393,1,24,561.386,63755,162.226,Unified Model
46176740,7490505.sdb,annette@archer,20/11/20 10:07,20/11/20 20:11,36206,758,8,54.324,6381327538,232.521,Unified Model
46176912,7490621.sdb,annette@archer,20/11/20 10:38,20/11/20 10:42,280,1,24,360.163,53318,190.421,Unified Model
46177218,7490800.sdb,annette@archer,20/11/20 11:36,20/11/20 11:41,306,1,24,706.425,53559,175.029,Unified Model
46177352,7490885.sdb,annette@archer,20/11/20 11:53,20/11/20 11:59,305,1,24,697.497,51524,168.931,Unified Model
46177468,7490919.sdb,annette@archer,20/11/20 12:11,20/11/20 12:17,394,2,4,83.193,122501,155.458,xios
46177552,7490963.sdb,annette@archer,20/11/20 12:26,20/11/20 12:32,402,2,4,83.191,126751,157.65,xios
