Cycle,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Data size,Data transferred,Transfer rate
20080401T0000Z,2020-11-21T15:27:57Z,2020-11-22T15:28:09Z,,,
20080401T0000Z,2020-11-25T10:10:20Z,2020-11-25T16:13:42Z,974738205618,640363854258,47749638.59
20080501T0000Z,2020-11-26T12:09:28Z,2020-11-26T19:26:13Z,975025604400,975025604400,56745592.26
20080601T0000Z,2020-11-27T07:26:35Z,2020-11-27T20:56:19Z,1833772353227,1833772353227,55251666.94
20080701T0000Z,2020-11-27T21:09:04Z,2020-11-28T05:18:19Z,974846173858,974846173858,52052277.17
20080801T0000Z,2020-11-28T13:06:06Z,2020-11-28T22:52:25Z,975132350256,975132350256,51870935.25
20080901T0000Z,2020-11-29T08:09:22Z,2020-11-29T22:42:34Z,1834233798323,1834233798323,49736540.95
20081001T0000Z,2020-11-29T22:46:18Z,2020-11-30T06:10:59Z,974894165762,974894165762,55911527.68
20081101T0000Z,2020-11-30T06:13:24Z,2020-11-30T07:53:16Z,,,
20081101T0000Z,2020-11-30T08:06:20Z,2020-11-30T16:36:09Z,974937431360,974937431360,50841121.38
20081201T0000Z,2020-11-30T22:07:50Z,2020-12-01T22:07:48Z,,,
20081201T0000Z,2020-12-02T09:53:44Z,2020-12-02T22:45:24Z,2277344907602,266159360650,22500473.56
20090101T0000Z,2020-12-01T10:01:26Z,2020-12-01T22:26:26Z,974691101722,974691101722,34335784.38
20090201T0000Z,2020-12-01T22:29:04Z,2020-12-02T07:36:59Z,974656543976,974656543976,48715636.31
20090301T0000Z,2020-12-02T07:52:29Z,2020-12-03T04:30:07Z,1833814270075,1833814270075,41428932.53
20090401T0000Z,2020-12-03T04:32:33Z,2020-12-03T16:27:22Z,975126305066,975126305066,34558046.21
20090501T0000Z,2020-12-03T10:17:59Z,2020-12-03T22:50:42Z,974968545352,974968545352,42562586.01
20090601T0000Z,2020-12-04T01:25:25Z,2020-12-04T21:30:56Z,1833963084731,1833963084731,44807850.63
20090701T0000Z,2020-12-04T18:06:24Z,2020-12-05T02:49:30Z,974751609866,974751609866,54151956.79
20090801T0000Z,2020-12-05T02:54:41Z,2020-12-05T09:59:24Z,975141337408,975141337408,57369944.84
20090901T0000Z,2020-12-05T20:45:44Z,2020-12-06T11:36:11Z,1833951764627,1833951764627,48126566.52
20091001T0000Z,2020-12-06T20:59:21Z,2020-12-07T04:26:05Z,974710601538,974710601538,51865052.21
20091101T0000Z,2020-12-07T08:05:17Z,2020-12-07T17:36:27Z,975170009632,975170009632,39269958.45
20091101T0000Z,2020-12-09T09:53:38Z,2020-12-09T13:59:34Z,,,
