Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19800301T0000Z, 374381, 2021-07-06T08:33:41Z, 2021-07-06T22:20:13Z, 2021-07-07T04:09:00Z
19800401T0000Z, 376459, 2021-07-07T04:11:44Z, 2021-07-08T00:50:22Z, 2021-07-08T07:41:36Z
19800501T0000Z, 379255, 2021-07-08T07:45:45Z, 2021-07-09T04:08:09Z, 2021-07-09T09:55:06Z
19800501T0000Z, 382618, 2021-07-09T15:42:25Z, 2021-07-09T16:04:51Z, 2021-07-09T17:45:11Z
19800501T0000Z, 386489, 2021-07-13T08:56:27Z, 2021-07-13T08:56:49Z, 2021-07-13T11:39:25Z
19800501T0000Z, 389018, 2021-07-14T08:39:29Z, , 
