Cycle,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Data size,Data transferred,Transfer rate
20060801T0000Z,2020-10-23T22:15:25Z,2020-10-24T08:46:36Z,974893668496.0,974893668496.0,37373274.75
20061001T0000Z,2020-10-31T12:56:05Z,2020-11-01T10:08:21Z,974587320930.0,447628233570.0,11866850.79
20061101T0000Z,2020-11-06T13:44:48Z,2020-11-07T02:41:01Z,975073087048.0,975073087048.0,31438034.74
20061201T0000Z,2020-11-06T17:14:23Z,2020-11-07T16:33:12Z,2277607632434.0,2277607632434.0,43655637.2
20070101T0000Z,2020-11-10T09:08:24Z,2020-11-10T18:53:50Z,974878282514.0,974878282514.0,45741234.79
20070201T0000Z,2020-11-10T15:03:17Z,2020-11-11T01:24:13Z,974956148280.0,974956148280.0,47754495.46
20070301T0000Z,2020-11-11T05:28:54Z,2020-11-11T23:17:33Z,1833876796115.0,1833876796115.0,52666963.27
20070401T0000Z,2020-11-12T03:06:32Z,2020-11-12T11:30:21Z,974471754194.0,974471754194.0,60132081.58
20070501T0000Z,2020-11-12T14:52:00Z,2020-11-13T00:25:02Z,975046954544.0,975046954544.0,47876180.52
20070601T0000Z,2020-11-14T02:24:33Z,2020-11-14T17:39:32Z,1833523944347.0,1833523944347.0,58733493.51
20070701T0000Z,2020-11-14T23:35:31Z,2020-11-15T08:06:39Z,974815724818.0,974815724818.0,57584520.53
20070801T0000Z,2020-11-17T20:04:04Z,2020-11-18T05:05:25Z,975119494576.0,975119494576.0,53828537.7
20070901T0000Z,2020-11-18T10:05:40Z,2020-11-19T05:48:40Z,1833876189523.0,1833876189523.0,47807219.06
20071001T0000Z,2020-11-19T05:53:05Z,2020-11-19T14:15:20Z,974968981498.0,974968981498.0,60155341.02
20071101T0000Z,2020-11-19T08:28:02Z,2020-11-19T18:04:24Z,974903642544.0,974903642544.0,50208432.43
20071201T0000Z,2020-11-20T01:45:53Z,2020-11-20T21:37:45Z,2277218070106.0,2277218070106.0,47876226.98
20080101T0000Z,2020-11-20T08:53:35Z,2020-11-20T16:32:18Z,974609765266.0,974609765266.0,53349866.73
20080201T0000Z,2020-11-20T16:35:26Z,2020-11-21T01:16:30Z,974784910872.0,974784910872.0,45604205.7
20080301T0000Z,2020-11-21T02:49:53Z,2020-11-21T15:22:16Z,1833804623419.0,1833804623419.0,60426288.02
20080401T0000Z,2020-11-25T10:10:20Z,2020-11-25T16:13:42Z,974738205618.0,640363854258.0,47749638.59
20080501T0000Z,2020-11-26T12:09:28Z,2020-11-26T19:26:13Z,975025604400.0,975025604400.0,56745592.26
20080601T0000Z,2020-11-27T07:26:35Z,2020-11-27T20:56:19Z,1833772353227.0,1833772353227.0,55251666.94
20080701T0000Z,2020-11-27T21:09:04Z,2020-11-28T05:18:19Z,974846173858.0,974846173858.0,52052277.17
20080801T0000Z,2020-11-28T13:06:06Z,2020-11-28T22:52:25Z,975132350256.0,975132350256.0,51870935.25
20080901T0000Z,2020-11-29T08:09:22Z,2020-11-29T22:42:34Z,1834233798323.0,1834233798323.0,49736540.95
20081001T0000Z,2020-11-29T22:46:18Z,2020-11-30T06:10:59Z,974894165762.0,974894165762.0,55911527.68
20081101T0000Z,2020-11-30T08:06:20Z,2020-11-30T16:36:09Z,974937431360.0,974937431360.0,50841121.38
20081201T0000Z,2020-12-02T09:53:44Z,2020-12-02T22:45:24Z,2277344907602.0,266159360650.0,22500473.56
20090101T0000Z,2020-12-01T10:01:26Z,2020-12-01T22:26:26Z,974691101722.0,974691101722.0,34335784.38
20090201T0000Z,2020-12-01T22:29:04Z,2020-12-02T07:36:59Z,974656543976.0,974656543976.0,48715636.31
20090301T0000Z,2020-12-02T07:52:29Z,2020-12-03T04:30:07Z,1833814270075.0,1833814270075.0,41428932.53
20090401T0000Z,2020-12-03T04:32:33Z,2020-12-03T16:27:22Z,975126305066.0,975126305066.0,34558046.21
20090501T0000Z,2020-12-03T10:17:59Z,2020-12-03T22:50:42Z,974968545352.0,974968545352.0,42562586.01
20090601T0000Z,2020-12-04T01:25:25Z,2020-12-04T21:30:56Z,1833963084731.0,1833963084731.0,44807850.63
20090701T0000Z,2020-12-04T18:06:24Z,2020-12-05T02:49:30Z,974751609866.0,974751609866.0,54151956.79
20090801T0000Z,2020-12-05T02:54:41Z,2020-12-05T09:59:24Z,975141337408.0,975141337408.0,57369944.84
20090901T0000Z,2020-12-05T20:45:44Z,2020-12-06T11:36:11Z,1833951764627.0,1833951764627.0,48126566.52
20091001T0000Z,2020-12-06T20:59:21Z,2020-12-07T04:26:05Z,974710601538.0,974710601538.0,51865052.21
20091101T0000Z,2020-12-07T08:05:17Z,2020-12-07T17:36:27Z,975170009632.0,975170009632.0,39269958.45
