PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
8660351,20061016T0000Z,55,9654,,,,,,,,,,,,,,,,,,,,,,,,,,
8671946,20061021T0000Z,126734,9469,,,,,,,,,,,,,,,,,,,,,,,,,,
8812185,20061026T0000Z,61,10835,um-atmos.exe,68355151.0,202.0,10770.8,75%,914.8G,4%,73.2M,781.8G,823.7G,539.2M,/projects,701.7G,884.3G,3.8k,3.8k,3.0,214.9k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
8827562,20061101T0000Z,95,9506,,,,,,,,,,,,,,,,,,,,,,,,,,
8836970,20061106T0000Z,45929,9438,,,,,,,,,,,,,,,,,,,,,,,,,,
8894683,20061111T0000Z,121117,9317,,,,,,,,,,,,,,,,,,,,,,,,,,
9034747,20061116T0000Z,210425,9526,,,,,,,,,,,,,,,,,,,,,,,,,,
9264611,20061121T0000Z,104563,9259,,,,,,,,,,,,,,,,,,,,,,,,,,
9412784,20061126T0000Z,45,9283,,,,,,,,,,,,,,,,,,,,,,,,,,
9424619,20061201T0000Z,121,9178,,,,,,,,,,,,,,,,,,,,,,,,,,
9435640,20061206T0000Z,44,9213,,,,,,,,,,,,,,,,,,,,,,,,,,
9448461,20061211T0000Z,62,9220,,,,,,,,,,,,,,,,,,,,,,,,,,
9459841,20061216T0000Z,85495,9656,,,,,,,,,,,,,,,,,,,,,,,,,,
9575249,20061221T0000Z,48,9360,,,,,,,,,,,,,,,,,,,,,,,,,,
9586703,20061226T0000Z,12862,9561,,,,,,,,,,,,,,,,,,,,,,,,,,
9613792,20070101T0000Z,52,9269,,,,,,,,,,,,,,,,,,,,,,,,,,
9623343,20070106T0000Z,57,9395,,,,,,,,,,,,,,,,,,,,,,,,,,
9633130,20070111T0000Z,32181,9340,,,,,,,,,,,,,,,,,,,,,,,,,,
9681333,20070116T0000Z,54,9639,,,,,,,,,,,,,,,,,,,,,,,,,,
9692300,20070121T0000Z,1201,9373,,,,,,,,,,,,,,,,,,,,,,,,,,
9704799,20070126T0000Z,49,9303,,,,,,,,,,,,,,,,,,,,,,,,,,
9714741,20070201T0000Z,2575,9337,,,,,,,,,,,,,,,,,,,,,,,,,,
9728323,20070206T0000Z,54,9254,,,,,,,,,,,,,,,,,,,,,,,,,,
9739855,20070211T0000Z,1395,9291,,,,,,,,,,,,,,,,,,,,,,,,,,
9752773,20070216T0000Z,2038,9619,,,,,,,,,,,,,,,,,,,,,,,,,,
11442,20070221T0000Z,45556,9377,um-atmos.exe,69512096.0,202.0,9320.5,65%,12.1T,48%,63.3M,782.4G,822.9G,477.2M,/projects,701.7G,883.3G,3.8k,3.8k,0.0,214.7k,0.0,188.6k,0.0,0.0,0.0,0.0,0.0,0.0
73925,20070226T0000Z,12231,9325,,,,,,,,,,,,,,,,,,,,,,,,,,
