PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
374381,19800301T0000Z,2021-07-06 08:33:41+00:00,2021-07-06 22:20:13+00:00,2021-07-07 04:09:00+00:00,49592.0,20927.0
376459,19800401T0000Z,2021-07-07 04:11:44+00:00,2021-07-08 00:50:22+00:00,2021-07-08 07:41:36+00:00,74318.0,24674.0
379255,19800501T0000Z,2021-07-08 07:45:45+00:00,2021-07-09 04:08:09+00:00,2021-07-09 09:55:06+00:00,73344.0,20817.0
382618,19800501T0000Z,2021-07-09 15:42:25+00:00,2021-07-09 16:04:51+00:00,2021-07-09 17:45:11+00:00,1346.0,6020.0
386489,19800501T0000Z,2021-07-13 08:56:27+00:00,2021-07-13 08:56:49+00:00,2021-07-13 11:39:25+00:00,22.0,9756.0
