Cycle,PBS ID,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
20040801T0000Z,1229991,6782,6575,env,20217932,165,6497.9,57%,6.4T,31%,35.6M,206.4G,294.3G,268.1M,/projects,115.8G,313.2G,71.7k,71.7k,3.5k,20.5M,0,1.4M,0,0,0,0,1,0
20040816T0000Z,1243389,1231,7172,env,20226704,165,6924.5,60%,6.3T,31%,38.0M,258.3G,318.7G,283.0M,/projects,167.6G,339.5G,74.3k,74.3k,3.5k,20.5M,0,1.6M,0,0,0,0,1,0
20040901T0000Z,1251524,2037,7159,env,20237680,165,7066.2,62%,6.3T,30%,38.6M,265.4G,294.5G,290.5M,/projects,160.3G,313.6G,189.4k,189.4k,3.5k,21.0M,0,2.0M,0,0,0,0,1,0
20040916T0000Z,1261084,4852,7140,env,20252647,165,7027.0,61%,6.3T,30%,38.6M,260.3G,318.8G,289.0M,/projects,160.1G,339.8G,73.4k,73.4k,4.4k,20.5M,0,1.6M,1,0,0,0,1,0
20041001T0000Z,1272392,158,7161,env,20260644,165,7076.6,62%,6.2T,30%,38.8M,264.1G,294.6G,291.6M,/projects,160.1G,313.8G,189.4k,189.4k,4.4k,20.9M,0,2.0M,1,0,0,0,1,0
20041016T0000Z,1279970,175,7142,env,20269417,165,7067.7,62%,6.2T,30%,38.7M,260.8G,318.8G,290.1M,/projects,160.0G,339.8G,73.4k,73.4k,4.4k,20.5M,0,1.6M,1,0,0,0,1,0
20041101T0000Z,1287328,293,7090,env,20278673,165,7002.3,61%,6.2T,30%,38.4M,250.4G,294.4G,290.3M,/projects,160.3G,313.7G,189.4k,189.4k,4.4k,20.9M,0,2.0M,1,0,0,0,1,0
20041116T0000Z,1296060,2690,7102,env,20291889,165,7024.4,61%,6.3T,31%,38.6M,266.1G,318.8G,288.7M,/projects,159.7G,339.6G,73.4k,73.4k,4.4k,20.5M,0,1.6M,1,0,0,0,1,0
20041201T0000Z,1307557,24960,6897
20041216T0000Z,1338045,2705,7209,env,20338946,165,7128.8,62%,6.3T,31%,39.1M,271.3G,318.8G,291.8M,/projects,159.5G,339.5G,73.4k,73.4k,4.4k,20.5M,0,1.6M,1,0,0,0,1,0
20050101T0000Z,1347258,94,6670,env,20346814,165,6584.5,57%,6.2T,30%,36.1M,245.2G,294.1G,271.4M,/projects,159.6G,313.4G,189.4k,189.4k,4.4k,20.9M,0,2.0M,1,0,0,0,1,0
20050116T0000Z,1352630,3873,7150,env,20356585,165,7076.9,62%,6.3T,31%,38.9M,250.4G,318.5G,290.3M,/projects,159.7G,339.5G,73.4k,73.4k,4.4k,20.5M,0,1.6M,1,0,0,0,1,0
