Cycle,PBS ID,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
19500101T0000Z,4937074,341,8106
19500116T0000Z,4951897,137,8427,env,17373021,144,8300.3,72%,5.5T,30%,39.3M,363.7G,316.4G,293.0M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500201T0000Z,4960364,21,8171,env,17381423,144,8065.2,70%,5.4T,30%,38.1M,355.8G,292.2G,287.8M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500216T0000Z,4992640,26,7808,env,17414347,125,7698.2,67%,4.7T,30%,31.9M,298.0G,316.2G,239.4M,/projects,140.8G,280.6G,38.6k,38.6k,2.4k,10.6M,0,826.2k,1,0,0,0,1,0
19500301T0000Z,5000211,57,7017,env,17421435,125,6904.0,60%,4.8T,30%,28.8M,280.2G,291.9G,216.2M,/projects,0,286.1G,68.3k,68.3k,2.0k,9.1M,0,799.7k,1,0,0,0,1,0
19500316T0000Z,5007459,15,7515,env,17428384,125,7424.4,65%,4.8T,31%,30.9M,282.9G,316.4G,230.3M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500401T0000Z,5015334,32,7008,env,17436329,125,6905.5,60%,4.8T,30%,28.8M,281.8G,292.1G,215.9M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500416T0000Z,5021563,16,7143
19500501T0000Z,5027052,73,7061,env,17450272,125,6892.3,60%,4.8T,30%,28.7M,280.1G,292.0G,216.3M,/projects,35.8G,27.5G,88.8k,88.8k,2.8k,12.3M,0,1.1M,0,0,0,0,0,0
19500516T0000Z,5032494,14,7015,env,17457080,125,6924.1,60%,4.8T,31%,29.0M,280.6G,316.2G,218.9M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500601T0000Z,5039042,22,6951,env,17464759,125,6862.3,60%,4.8T,31%,28.6M,284.3G,292.1G,213.1M,/projects,44.9G,31.9G,90.0k,90.0k,3.6k,15.9M,0,1.2M,0,0,0,0,0,0
19500616T0000Z,5045194,30,7499,env,17473005,125,7375.3,64%,4.8T,31%,30.8M,289.5G,316.4G,233.3M,/projects,29.5G,24.3G,34.7k,34.7k,2.2k,9.7M,0,749.9k,0,0,0,0,0,0
19500701T0000Z,5051644,209,7095,env,17481013,125,6953.1,61%,4.8T,31%,29.1M,286.5G,292.2G,220.4M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500716T0000Z,5058239,44,7244,env,17488378,125,7154.3,62%,4.8T,31%,30.0M,285.2G,316.3G,225.8M,/projects,142.7G,332.2G,37.4k,37.4k,2.8k,11.8M,0,852.1k,1,0,0,0,1,0
19500801T0000Z,5066578,41,7186,env,17497164,125,7092.4,62%,4.8T,31%,29.7M,285.7G,292.2G,222.5M,/projects,36.5G,78.1G,90.0k,90.0k,2.9k,12.8M,0,1.1M,0,0,0,0,0,0
19500816T0000Z,5074185,13,7325,env,17504753,125,7205.2,63%,4.8T,31%,30.2M,285.1G,316.5G,228.3M,/projects,143.9G,332.8G,39.3k,39.3k,2.8k,12.2M,0,879.7k,1,0,0,0,1,0
19500901T0000Z,5082185,13,7143,env,17513085,125,7057.3,62%,4.8T,31%,29.5M,286.6G,292.3G,220.7M,/projects,125.1G,286.6G,84.4k,84.4k,1.7k,7.6M,0,851.6k,1,0,0,0,1,0
19500916T0000Z,5090422,18,7167,env,17522780,125,7072.1,62%,4.8T,31%,29.6M,285.4G,316.7G,221.5M,/projects,135.8G,317.2G,37.5k,37.5k,2.9k,12.6M,0,875.3k,1,0,0,0,1,0
19501001T0000Z,5099036,54,7237,env,17531139,125,7131.7,62%,4.8T,31%,29.8M,288.7G,292.4G,223.9M,/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19501016T0000Z,5109047,74,7303,env,17540811,125,7177.3,63%,4.8T,31%,30.0M,285.2G,316.5G,226.6M,/projects,39.6G,29.4G,39.5k,39.5k,3.1k,13.7M,0,924.3k,0,0,0,0,0,0
19501101T0000Z,5119542,50,7301,env,17549141,125,7211.9,63%,4.8T,31%,30.2M,285.1G,292.2G,227.0M,/projects,139.0G,292.5G,91.3k,91.3k,3.3k,14.4M,0,1.2M,1,0,0,0,1,0
