PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
7492231.sdb,20080401T0000Z,2020-11-20 20:13:28+00:00,2020-11-20 20:14:29+00:00,2020-11-21 06:26:13+00:00,61.0,36704.0
7496496.sdb,20080501T0000Z,2020-11-25 11:23:00+00:00,2020-11-25 21:54:33+00:00,2020-11-26 07:22:21+00:00,37893.0,34068.0
7497859.sdb,20080601T0000Z,2020-11-26 07:22:56+00:00,2020-11-26 13:43:21+00:00,2020-11-26 23:21:56+00:00,22825.0,34715.0
7499545.sdb,20080701T0000Z,2020-11-26 23:25:16+00:00,2020-11-27 05:35:02+00:00,2020-11-27 16:41:35+00:00,22186.0,39993.0
7501045.sdb,20080801T0000Z,2020-11-27 16:42:21+00:00,2020-11-27 20:23:16+00:00,2020-11-28 06:31:08+00:00,13255.0,36472.0
7501883.sdb,20080901T0000Z,2020-11-28 06:34:40+00:00,2020-11-28 14:38:01+00:00,2020-11-29 01:03:55+00:00,29001.0,37554.0
7503907.sdb,20081001T0000Z,2020-11-29 01:07:26+00:00,2020-11-29 01:57:47+00:00,2020-11-29 11:33:24+00:00,3021.0,34537.0
7504658.sdb,20081101T0000Z,2020-11-29 11:33:51+00:00,2020-11-29 11:35:19+00:00,2020-11-29 21:00:56+00:00,88.0,33937.0
7505559.sdb,20081201T0000Z,2020-11-29 21:05:20+00:00,2020-11-29 22:05:09+00:00,2020-11-30 08:16:29+00:00,3589.0,36680.0
7506138.sdb,20090101T0000Z,2020-11-30 08:17:03+00:00,2020-11-30 08:21:07+00:00,2020-11-30 18:18:41+00:00,244.0,35854.0
7507698.sdb,20090201T0000Z,2020-11-30 18:21:55+00:00,2020-11-30 18:25:11+00:00,2020-12-01 04:35:22+00:00,196.0,36611.0
7508130.sdb,20090301T0000Z,2020-12-01 04:38:16+00:00,2020-12-01 09:59:21+00:00,2020-12-01 21:55:00+00:00,19265.0,42939.0
7509609.sdb,20090401T0000Z,2020-12-01 21:55:26+00:00,2020-12-01 21:56:26+00:00,2020-12-02 08:55:23+00:00,60.0,39537.0
7510032.sdb,20090501T0000Z,2020-12-02 08:56:53+00:00,2020-12-02 08:57:02+00:00,2020-12-02 19:54:13+00:00,9.0,39431.0
7511431.sdb,20090601T0000Z,2020-12-02 19:58:18+00:00,2020-12-02 21:50:05+00:00,2020-12-03 09:25:45+00:00,6707.0,41740.0
7512260.sdb,20090701T0000Z,2020-12-03 09:27:13+00:00,2020-12-03 09:30:03+00:00,2020-12-03 21:24:34+00:00,170.0,42871.0
7513653.sdb,20090801T0000Z,2020-12-03 21:28:40+00:00,2020-12-03 23:31:05+00:00,2020-12-04 11:21:00+00:00,7345.0,42595.0
7514713.sdb,20090901T0000Z,2020-12-04 11:25:32+00:00,2020-12-05 04:13:48+00:00,2020-12-05 14:14:15+00:00,60496.0,36027.0
7516838.sdb,20091001T0000Z,2020-12-05 14:19:20+00:00,2020-12-06 07:17:14+00:00,2020-12-06 17:17:30+00:00,61074.0,36016.0
7518145.sdb,20091101T0000Z,2020-12-06 17:17:55+00:00,2020-12-06 17:26:06+00:00,2020-12-07 03:44:10+00:00,491.0,37084.0
