PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
6999991.sdb,20041101T0000Z,2020-04-20 14:47:32,2020-04-20 14:49:27,2020-04-20 21:46:02,115.0,24995.0
7003778.sdb,20041201T0000Z,2020-04-22 11:36:54,2020-04-22 11:37:05,2020-04-22 19:46:11,11.0,29346.0
7004679.sdb,20050101T0000Z,2020-04-22 19:47:54,2020-04-22 19:49:38,2020-04-23 04:09:05,104.0,29967.0
7005110.sdb,20050201T0000Z,2020-04-23 04:13:59,2020-04-23 04:14:09,2020-04-23 12:06:55,10.0,28366.0
7007426.sdb,20050301T0000Z,2020-04-24 07:04:01,2020-04-24 07:04:11,2020-04-24 14:38:50,10.0,27279.0
7009560.sdb,20050401T0000Z,2020-04-25 10:20:46,2020-04-25 10:20:56,2020-04-25 18:09:52,10.0,28136.0
7010016.sdb,20050501T0000Z,2020-04-25 18:11:52,2020-04-25 18:13:08,2020-04-26 02:08:59,76.0,28551.0
7010331.sdb,20050601T0000Z,2020-04-26 02:13:04,2020-04-26 02:13:12,2020-04-26 09:51:20,8.0,27488.0
7010497.sdb,20050701T0000Z,2020-04-26 09:54:04,2020-04-26 09:54:13,2020-04-26 17:27:39,9.0,27206.0
7012397.sdb,20050801T0000Z,2020-04-27 15:22:11,2020-04-27 15:26:22,2020-04-27 23:54:58,251.0,30516.0
7013279.sdb,20050901T0000Z,2020-04-27 23:58:14,2020-04-27 23:58:29,2020-04-28 07:49:12,15.0,28243.0
7013468.sdb,20051001T0000Z,2020-04-28 07:54:12,2020-04-28 07:54:28,2020-04-28 15:57:28,16.0,28980.0
7014345.sdb,20051101T0000Z,2020-04-28 16:00:25,2020-04-28 16:01:03,2020-04-29 00:18:30,38.0,29847.0
7015488.sdb,20051201T0000Z,2020-04-29 07:48:28,2020-04-29 08:30:08,2020-04-29 18:04:31,2500.0,34463.0
7016761.sdb,20060101T0000Z,2020-04-29 18:05:03,2020-04-29 18:07:58,2020-04-30 02:09:24,175.0,28886.0
7017244.sdb,20060201T0000Z,2020-04-30 02:11:05,2020-04-30 02:12:46,2020-04-30 10:03:55,101.0,28269.0
7017697.sdb,20060301T0000Z,2020-04-30 10:07:27,2020-04-30 11:44:41,2020-04-30 19:30:50,5834.0,27969.0
7019142.sdb,20060401T0000Z,2020-04-30 19:33:40,2020-04-30 21:22:43,2020-05-01 05:02:42,6543.0,27599.0
7019456.sdb,20060501T0000Z,2020-05-01 05:04:59,2020-05-01 06:56:51,2020-05-01 15:32:51,6712.0,30960.0
7021877.sdb,20060601T0000Z,2020-05-01 15:36:28,2020-05-01 15:46:39,2020-05-02 00:39:02,611.0,31943.0
7022481.sdb,20060701T0000Z,2020-05-02 00:42:57,2020-05-02 00:43:08,2020-05-02 08:53:37,11.0,29429.0
7022711.sdb,20060801T0000Z,2020-05-02 08:54:10,2020-05-02 08:54:24,2020-05-02 17:17:45,14.0,30201.0
7023227.sdb,20060901T0000Z,2020-05-02 17:20:33,2020-05-02 22:23:56,2020-05-03 07:03:32,18203.0,31176.0
7023584.sdb,20061001T0000Z,2020-05-03 07:07:28,2020-05-03 07:07:41,2020-05-03 15:45:53,13.0,31092.0
7024090.sdb,20061101T0000Z,2020-05-03 15:48:40,2020-05-03 15:49:17,2020-05-04 00:24:03,37.0,30886.0
7024716.sdb,20061201T0000Z,2020-05-04 06:16:48,2020-05-04 07:58:37,2020-05-04 15:33:47,6109.0,27310.0
7025721.sdb,20070101T0000Z,2020-05-04 15:38:12,2020-05-04 16:31:20,2020-05-05 00:11:55,3188.0,27635.0
7026294.sdb,20070201T0000Z,2020-05-05 00:14:17,2020-05-05 00:17:55,2020-05-05 07:56:44,218.0,27529.0
7026764.sdb,20070301T0000Z,2020-05-05 08:00:26,2020-05-05 08:00:35,2020-05-05 16:18:02,9.0,29847.0
7027767.sdb,20070401T0000Z,2020-05-05 16:21:39,2020-05-05 16:44:16,2020-05-06 00:34:18,1357.0,28202.0
7028335.sdb,20070501T0000Z,2020-05-06 00:37:42,2020-05-06 00:37:53,2020-05-06 08:26:48,11.0,28135.0
7038550.sdb,20070601T0000Z,2020-05-22 17:06:14,2020-05-22 17:08:12,2020-05-23 00:31:36,118.0,26604.0
7038958.sdb,20070701T0000Z,2020-05-23 00:32:21,2020-05-23 00:33:51,2020-05-23 08:03:05,90.0,26954.0
7047557.sdb,20070801T0000Z,2020-05-29 08:09:28,2020-05-29 08:09:37,2020-05-29 15:37:54,9.0,26897.0
7049278.sdb,20070901T0000Z,2020-05-30 10:31:04,2020-05-30 10:31:36,2020-05-30 18:15:34,32.0,27838.0
7057460.sdb,20071001T0000Z,2020-06-02 14:17:26,2020-06-02 15:22:24,2020-06-03 00:22:59,3898.0,32435.0
7061774.sdb,20071101T0000Z,2020-06-04 12:08:41,2020-06-04 17:12:29,2020-06-05 00:37:14,18228.0,26685.0
7063115.sdb,20071201T0000Z,2020-06-05 06:20:22,2020-06-05 08:12:42,2020-06-05 15:53:24,6740.0,27642.0
7064186.sdb,20080101T0000Z,2020-06-05 15:56:22,2020-06-05 15:56:49,2020-06-05 23:57:38,27.0,28849.0
7064709.sdb,20080201T0000Z,2020-06-06 00:02:09,2020-06-06 04:05:10,2020-06-06 11:59:52,14581.0,28482.0
7065218.sdb,20080301T0000Z,2020-06-06 12:03:08,2020-06-06 21:46:16,2020-06-07 05:09:32,34988.0,26596.0
7066779.sdb,20080401T0000Z,2020-06-07 17:56:24,2020-06-07 23:27:54,2020-06-08 07:05:07,19890.0,27433.0
7067297.sdb,20080501T0000Z,2020-06-08 07:08:18,2020-06-08 07:18:29,2020-06-08 15:15:16,611.0,28607.0
7068728.sdb,20080601T0000Z,2020-06-08 15:19:06,2020-06-08 19:00:42,2020-06-09 02:56:30,13296.0,28548.0
7069420.sdb,20080701T0000Z,2020-06-09 03:00:11,2020-06-09 04:40:04,2020-06-09 12:52:30,5993.0,29546.0
7075299.sdb,20080801T0000Z,2020-06-11 17:19:59,2020-06-11 22:43:14,2020-06-12 06:35:57,19395.0,28363.0
7076444.sdb,20080901T0000Z,2020-06-12 18:54:33,2020-06-12 18:54:39,2020-06-13 02:31:00,6.0,27381.0
7077902.sdb,20081001T0000Z,2020-06-13 21:01:07,2020-06-13 22:00:20,2020-06-14 05:25:48,3553.0,26728.0
7092393.sdb,20081101T0000Z,2020-06-19 12:45:32,2020-06-19 14:55:27,2020-06-19 23:07:19,7795.0,29512.0
7093451.sdb,20081201T0000Z,2020-06-19 23:11:45,2020-06-20 02:27:39,2020-06-20 10:36:01,11754.0,29302.0
7095004.sdb,20090101T0000Z,2020-06-21 08:33:52,2020-06-22 00:00:09,2020-06-22 07:55:09,55577.0,28500.0
7095959.sdb,20090201T0000Z,2020-06-22 08:02:46,2020-06-22 19:03:33,2020-06-23 02:28:33,39647.0,26700.0
7099400.sdb,20090301T0000Z,2020-06-26 14:01:33,2020-06-26 19:36:10,2020-06-27 03:24:14,20077.0,28084.0
7100060.sdb,20090401T0000Z,2020-06-27 03:28:12,2020-06-27 05:48:08,2020-06-27 13:23:05,8396.0,27297.0
7100504.sdb,20090501T0000Z,2020-06-27 13:27:52,2020-06-29 06:07:10,2020-06-29 13:46:19,146358.0,27549.0
7102535.sdb,20090601T0000Z,2020-06-29 13:50:57,2020-06-30 06:16:32,2020-06-30 13:44:38,59135.0,26886.0
7104287.sdb,20090701T0000Z,2020-06-30 13:46:57,2020-07-01 16:06:38,2020-07-02 00:32:05,94781.0,30327.0
7106518.sdb,20090801T0000Z,2020-07-02 00:36:51,2020-07-03 04:31:46,2020-07-03 13:06:46,100495.0,30900.0
7109307.sdb,20090901T0000Z,2020-07-03 13:10:14,2020-07-03 19:31:58,2020-07-04 03:28:28,22904.0,28590.0
7116419.sdb,20091001T0000Z,2020-07-08 07:55:14,2020-07-08 09:31:16,2020-07-08 18:05:50,5762.0,30874.0
7118213.sdb,20091101T0000Z,2020-07-08 19:26:06,2020-07-09 04:29:33,2020-07-09 12:26:29,32607.0,28616.0
7119692.sdb,20091201T0000Z,2020-07-09 12:28:19,2020-07-09 16:06:06,2020-07-09 23:53:53,13067.0,28067.0
