Suite id,Description,Total nodes,Cycle length (days),Cycles,Requested time (h),Mean run time (h),Mean queue time (h),Run time (days) / SY,Queue time (days) / SY,Run + queue time (days) / SY,SYPD,ASYPD inc wait,Total wall time,Total model time (days),ASYPD inc down,Cores used,Cores used / node,Cores allocated,CHSY,NHSY
u-al508,Ens2 (4 min ts) ,300,3,600,3.9833333333333334,3.1325150732127476,2.5771387812230837,15.66257536606374,12.885693906115419,28.54826927217916,0.06384646053590332,0.03502839315637671,267 days 13:54:51,1800,0.018686017421856438,10800,36,10800,4059739.5348837213,112770.54263565892
u-az035,Ens3 (4 min ts),202,10,220,12.0,8.958238636363637,0.3391729797979798,13.437357954545456,0.5087594696969696,13.946117424242425,0.07441939132548969,0.07170454468293146,207 days 11:52:55,2200,0.029451836068179884,7272,36,7272,2345195.2090909095,65144.31136363638
u-bh377,Ens4 (5 min ts + SSL@P),202,5,372,4.0,2.59142060745867,2.465294117647059,7.774261822376009,7.395882352941176,15.170144175317185,0.12862957575236061,0.0659189516225604,165 days 00:16:34,1860,0.03131094815639258,7272,36,7272,1356826.3673356401,37689.621314878896
u-bw067,3 min ts + multigrid,685,10,4,3.9833333333333334,3.455092592592593,0.014814814814814815,5.1826388888888895,0.022222222222222227,5.204861111111112,0.19295189602036714,0.19212808539026016,0 days 14:58:27,40,0.17808447882464243,9739,24,24660,3067293.0000000005,85202.58333333334
u-br938,Ens6 (5 min ts + SSL@P + optims),756,30,62,12.0,7.962558243727599,3.486915422885572,3.9812791218637997,1.743457711442786,5.724736833306586,0.25117555674716396,0.17468051879380522,84 days 01:04:50,1860,0.06147498653857542,12096,16,18144,1733671.8812903229,72236.32838709679
u-bx090,Ens7 (4 min ts + SSL@P + dust STASH),758,30,61,24.0,11.054731329690346,3.7394243641231597,5.527365664845173,1.8697121820615799,7.397077846906753,0.18091801061039645,0.1351885191282895,93 days 01:04:12,1830,0.054633307509392895,12128,16,18192,2413292.0681967214,100553.83617486339
u-cd936,Ens0 (3 min ts + multigrid + EasyAerosol),96,30,12,12.0,7.902013888888889,2.28,3.9510069444444444,1.14,5.091006944444445,0.25310003603160236,0.1964247959023605,11 days 02:10:55,360,0.09016389165723111,12288,128,12288,1165199.36,9103.12
u-cf432_1,Ens0 (4 min ts + multigrid + EasyAerosol),97,30,2,12.0,6.333472222222222,11.034555555555556,3.1667361111111116,5.517277777777778,8.68401388888889,0.3157825486283195,0.11515412259755713,8 days 00:20:52,60,0.020795665259108212,12416,128,12416,943636.6933333335,7372.161666666668
u-cf432_2,Ens0 (4 min ts + multigrid + EasyAerosol),124,30,10,12.0,5.261666666666667,23.355376984126984,2.6308333333333334,11.67768849206349,14.308521825396824,0.3801076971808679,0.06988842119421841,24 days 11:51:26,300,0.03402186660971154,15872,128,15872,1002158.08,7829.36
