Suite id,Description,Machine,Cycles,Total nodes,Failed jobs,Total time (s),Total time (s) exc fail,Cores allocated,SY,CHSY,CHSY exc fail,NHSY,NHSY exc fail,MAU/SY,MAU/SY exc fail,CU/SY,CU/SY exc fail
u-br938,Ens6 (5 min ts + SSL@P + optims),Archer,62,756,5.0,1883372.0,1777243.0,18144,5.166666666666667,1837199.009032258,1733671.8812903226,76549.95870967742,72236.32838709677,27.557985135483868,26.005078219354836,18182.888054555206,17158.272776032485
u-bx090,Ens7 (4 min ts + SSL@P + dust STASH),Archer,61,758,22.0,3338778.0,2427619.0,18192,5.083333333333333,3319073.736393443,2413292.0681967214,138294.73901639346,100553.83617486339,49.78610604590165,36.19938102295082,32849.106654725285,23884.521656737143
u-cd936,Ens0 (3 min ts + multigrid + EasyAerosol),Archer2,12,96,1.0,353536.0,341367.0,12288,1.0,1206736.2133333334,1165199.36,9427.626666666667,9103.12,14.288510976000001,13.796688672000002,9427.626666666667,9103.12
u-cf432_1,Ens0 (4 min ts + multigrid + EasyAerosol),Archer2,2,97,3.0,82194.0,45601.0,12416,0.16666666666666666,1700867.84,943636.6933333334,13288.03,7372.161666666667,20.139338268000003,11.173248222,13288.03,7372.161666666667
u-cf432_2,Ens0 (4 min ts + multigrid + EasyAerosol),Archer2,10,124,4.0,207905.0,189420.0,15872,0.8333333333333334,1099956.0533333332,1002158.0799999998,8593.406666666666,7829.359999999999,13.024167144,11.866178015999997,8593.406666666666,7829.359999999999
